TIMESTAMP,TA_F,TA_F_QC,SW_IN_F,SW_IN_F_QC,LW_IN_F,LW_IN_F_QC,VPD_F,VPD_F_QC,PA_F,PA_F_QC,P_F,P_F_QC,WS_F,WS_F_QC,NETRAD,NETRAD_QC,SW_OUT,SW_OUT_QC,LW_OUT,LW_OUT_QC,CO2_F_MDS,CO2_F_MDS_QC,SWC_F_MDS_1,SWC_F_MDS_1_QC,G_F_MDS,G_F_MDS_QC,LE_CORR,H_CORR,NEE_VUT_REF_QC,GPP_NT_VUT_REF,GPP_DT_VUT_REF
20040101,6.526,0.0,18.899,0.0,291.727,0.0,6.469,0.0,98.545,0.0,0.067,0.0,3.026,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,88.5185,28.7182,0.0,12.0109,0.947298
20040102,6.99,0.0,21.762,0.0,275.078,0.0,6.742,0.0,98.535,0.0,0.0,0.0,4.766,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,89.172,25.7642,0.0,12.613,1.07181
20040103,3.079,0.0,23.292,0.0,264.555,0.0,6.104,0.0,98.553,0.0,0.0,0.0,2.346,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,106.92,26.5924,0.0,11.6969,1.1447
20040104,3.032,0.0,21.938,0.0,274.81,0.0,5.737,0.0,98.562,0.0,0.0,0.0,1.711,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,88.5185,29.6998,0.0,11.2952,1.08149
20040105,4.152,0.0,22.732,0.0,279.677,0.0,5.47,0.0,98.579,0.0,0.0,0.0,1.56,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,109.144,31.4548,0.0,12.0322,1.11938
20040106,3.952,0.0,23.646,0.0,278.952,0.0,5.508,0.0,98.578,0.0,0.0,0.0,1.172,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,114.652,28.5156,0.0,11.8772,1.16183
20040107,3.963,0.0,21.441,0.0,290.467,0.0,5.642,0.0,98.572,0.0,0.006,0.0,1.591,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,97.1782,31.8477,0.0,11.4813,1.061
20040108,8.055,0.0,22.616,0.0,297.321,0.0,6.127,0.0,98.567,0.0,0.0,0.0,3.03,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,98.6539,29.3594,0.0,12.8347,1.11444
20040109,11.49,0.0,21.883,0.0,309.347,0.0,6.451,0.0,98.578,0.0,0.0,0.0,3.496,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,125.133,30.7831,0.0,13.4296,1.08241
20040110,11.129,0.0,23.643,0.0,304.25,0.0,6.489,0.0,98.587,0.0,0.0,0.0,1.969,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,102.765,34.1768,0.0,12.9591,1.1632
20040111,9.135,0.0,20.331,0.0,308.572,0.0,5.891,0.0,98.59,0.0,0.0,0.0,1.101,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,102.965,30.8916,0.0,13.0573,1.00637
20040112,10.591,0.0,24.521,0.0,296.347,0.0,6.491,0.0,98.579,0.0,0.0,0.0,2.379,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,122.979,30.3928,0.0,13.2433,1.2046
20040113,10.69,0.0,25.007,0.0,290.725,0.0,6.823,0.0,98.555,0.0,0.0,0.0,2.514,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,104.162,34.759,0.0,12.8684,1.22736
20040114,9.753,0.0,25.258,0.0,293.121,0.0,6.716,0.0,98.548,0.0,0.0,0.0,3.598,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,104.402,31.4023,0.0,13.1853,1.2381
20040115,6.709,0.0,22.503,0.0,305.222,0.0,5.96,0.0,98.563,0.0,0.007,0.0,2.01,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,124.673,30.8723,0.0,12.4397,1.10479
20040116,7.708,0.0,25.047,0.0,297.065,0.0,6.038,0.0,98.551,0.0,0.017,0.0,2.054,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,102.873,34.3783,0.0,12.2523,1.22943
20040117,8.661,0.0,26.173,0.0,285.761,0.0,6.63,0.0,98.536,0.0,0.0,0.0,2.922,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,0.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,-9999.0,105.984,31.9082,0.0,12.9592,1.28148
