SWC_F_MDS_1,is_leap_year,Month,Year,Day,Percentile,flashdrought,FD_Period,slowdrought,SD_Period,date
,True,1,2004,1,,,,,,2004-01-01
,True,1,2004,6,,,,,,2004-01-06
,True,1,2004,11,,,,,,2004-01-11
,True,1,2004,16,,,,,,2004-01-16
,True,1,2004,21,,,,,,2004-01-21
,True,1,2004,26,,,,,,2004-01-26
,True,1,2004,31,,,,,,2004-01-31
,True,2,2004,5,,,,,,2004-02-05
,True,2,2004,10,,,,,,2004-02-10
,True,2,2004,15,,,,,,2004-02-15
,True,2,2004,20,,,,,,2004-02-20
,True,2,2004,25,,,,,,2004-02-25
,True,3,2004,2,,,,,,2004-03-02
,True,3,2004,7,,,,,,2004-03-07
,True,3,2004,12,,,,,,2004-03-12
,True,3,2004,17,,,,,,2004-03-17
,True,3,2004,22,,,,,,2004-03-22
,True,3,2004,27,,,,,,2004-03-27
,True,4,2004,1,,,,,,2004-04-01
,True,4,2004,6,,,,,,2004-04-06
,True,4,2004,11,,,,,,2004-04-11
,True,4,2004,16,,,,,,2004-04-16
,True,4,2004,21,,,,,,2004-04-21
,True,4,2004,26,,,,,,2004-04-26
,True,5,2004,1,,,,,,2004-05-01
,True,5,2004,6,,,,,,2004-05-06
,True,5,2004,11,,,,,,2004-05-11
,True,5,2004,16,,,,,,2004-05-16
,True,5,2004,21,,,,,,2004-05-21
,True,5,2004,26,,,,,,2004-05-26
20.3258,True,5,2004,31,11.11111111111111,,,,,2004-05-31
20.2516,True,6,2004,5,5.555555555555555,,,,,2004-06-05
20.4004,True,6,2004,10,5.555555555555555,,,,,2004-06-10
19.7084,True,6,2004,15,5.555555555555555,,,,,2004-06-15
18.404,True,6,2004,20,11.11111111111111,,,,,2004-06-20
16.4792,True,6,2004,25,11.11111111111111,,,,,2004-06-25
16.75,True,6,2004,30,11.11111111111111,,,,,2004-06-30
20.7208,True,7,2004,5,11.11111111111111,,,,,2004-07-05
19.7084,True,7,2004,10,11.11111111111111,,,,,2004-07-10
19.6332,True,7,2004,15,11.11111111111111,,,,,2004-07-15
16.325,True,7,2004,20,11.11111111111111,,,,,2004-07-20
24.3916,True,7,2004,25,38.88888888888889,,,,,2004-07-25
18.8958,True,7,2004,30,22.22222222222222,,,,,2004-07-30
25.0666,True,8,2004,4,50.0,,,,,2004-08-04
18.8418,True,8,2004,9,16.666666666666664,,,,,2004-08-09
16.4042,True,8,2004,14,5.555555555555555,,,,,2004-08-14
21.458199999999998,True,8,2004,19,27.77777777777778,,,,,2004-08-19
30.575,True,8,2004,24,61.111111111111114,,,,,2004-08-24
29.325,True,8,2004,29,72.22222222222221,,,,,2004-08-29
20.3418,True,9,2004,3,16.666666666666664,,,,,2004-09-03
16.8916,True,9,2004,8,11.11111111111111,,,,,2004-09-08
17.3166,True,9,2004,13,11.11111111111111,,,,,2004-09-13
17.2332,True,9,2004,18,11.11111111111111,,,,,2004-09-18
15.2834,True,9,2004,23,5.555555555555555,,,,,2004-09-23
14.316399999999998,True,9,2004,28,5.555555555555555,,,,,2004-09-28
14.7126,True,10,2004,3,5.555555555555555,,,,,2004-10-03
19.3166,True,10,2004,8,5.555555555555555,,,,,2004-10-08
26.062599999999996,True,10,2004,13,44.44444444444444,,,,,2004-10-13
26.15,True,10,2004,18,22.22222222222222,,,,,2004-10-18
26.8208,True,10,2004,23,27.77777777777778,,,,,2004-10-23
31.329200000000004,True,10,2004,28,44.44444444444444,,,,,2004-10-28
33.0708,True,11,2004,2,55.55555555555556,,,,,2004-11-02
29.395999999999997,True,11,2004,7,38.88888888888889,,,,,2004-11-07
32.320800000000006,True,11,2004,12,33.33333333333333,,,,,2004-11-12
33.7918,True,11,2004,17,38.88888888888889,,,,,2004-11-17
37.1626,True,11,2004,22,50.0,,,,,2004-11-22
34.9208,True,11,2004,27,44.44444444444444,,,,,2004-11-27
35.5126,True,12,2004,2,44.44444444444444,,,,,2004-12-02
38.9544,True,12,2004,7,72.22222222222221,,,,,2004-12-07
36.562400000000004,True,12,2004,12,38.88888888888889,,,,,2004-12-12
35.875,True,12,2004,17,38.88888888888889,,,,,2004-12-17
35.225,True,12,2004,22,33.33333333333333,,,,,2004-12-22
35.312400000000004,True,12,2004,27,33.33333333333333,,,,,2004-12-27
36.0,True,1,2005,1,36.36363636363637,,,,,2005-01-01
39.725,False,1,2005,1,59.09090909090909,,,,,2005-01-01
37.9416,False,1,2005,6,47.05882352941176,,,,,2005-01-06
37.9082,False,1,2005,11,47.05882352941176,,,,,2005-01-11
35.8082,False,1,2005,16,29.411764705882355,,,,,2005-01-16
35.4708,False,1,2005,21,29.411764705882355,,,,,2005-01-21
35.979200000000006,False,1,2005,26,29.411764705882355,,,,,2005-01-26
36.1626,False,1,2005,31,29.411764705882355,,,,,2005-01-31
37.9332,False,2,2005,5,47.05882352941176,,,,,2005-02-05
39.3082,False,2,2005,10,58.82352941176471,,,,,2005-02-10
36.6792,False,2,2005,15,35.294117647058826,,,,,2005-02-15
36.375,False,2,2005,20,17.647058823529413,,,,,2005-02-20
36.396,False,2,2005,25,29.411764705882355,,,,,2005-02-25
36.0,False,3,2005,2,23.52941176470588,,,,,2005-03-02
36.7832,False,3,2005,7,23.52941176470588,,,,,2005-03-07
35.575,False,3,2005,12,17.647058823529413,,,,,2005-03-12
35.3166,False,3,2005,17,17.647058823529413,,,,,2005-03-17
38.2626,False,3,2005,22,23.52941176470588,,,,,2005-03-22
36.6668,False,3,2005,27,17.647058823529413,,,,,2005-03-27
35.8626,False,4,2005,1,11.76470588235294,,,,,2005-04-01
37.233,False,4,2005,6,11.76470588235294,,,,,2005-04-06
44.9582,False,4,2005,11,76.47058823529412,,,,,2005-04-11
29.65,False,4,2005,16,11.76470588235294,,,,,2005-04-16
28.7334,False,4,2005,21,11.76470588235294,,,,,2005-04-21
28.2416,False,4,2005,26,5.88235294117647,,,,,2005-04-26
27.791800000000002,False,5,2005,1,5.88235294117647,,,,,2005-05-01
25.162399999999998,False,5,2005,6,5.88235294117647,,,,,2005-05-06
21.4876,False,5,2005,11,5.88235294117647,,,,,2005-05-11
19.7458,False,5,2005,16,5.88235294117647,,,,,2005-05-16
23.1168,False,5,2005,21,11.76470588235294,,,,,2005-05-21
19.2958,False,5,2005,26,11.76470588235294,,,,,2005-05-26
17.3208,False,5,2005,31,5.555555555555555,,,,,2005-05-31
20.3126,False,6,2005,5,11.11111111111111,,,,,2005-06-05
28.739800000000002,False,6,2005,10,27.77777777777778,,,,,2005-06-10
22.1862,False,6,2005,15,11.11111111111111,,,,,2005-06-15
18.281,False,6,2005,20,5.555555555555555,,,,,2005-06-20
16.296,False,6,2005,25,5.555555555555555,,,,,2005-06-25
15.1166,False,6,2005,30,5.555555555555555,,,,,2005-06-30
14.1792,False,7,2005,5,5.555555555555555,,,,,2005-07-05
13.4334,False,7,2005,10,5.555555555555555,,,,,2005-07-10
13.0042,False,7,2005,15,5.555555555555555,,,,,2005-07-15
12.5542,False,7,2005,20,5.555555555555555,,,,,2005-07-20
12.7,False,7,2005,25,5.555555555555555,,,,,2005-07-25
12.091800000000001,False,7,2005,30,5.555555555555555,,,,,2005-07-30
11.6458,False,8,2005,4,5.555555555555555,,,,,2005-08-04
15.0708,False,8,2005,9,5.555555555555555,,,,,2005-08-09
31.829200000000004,False,8,2005,14,66.66666666666666,,,,,2005-08-14
28.8584,False,8,2005,19,61.111111111111114,,,,,2005-08-19
30.621,False,8,2005,24,66.66666666666666,,before,,,2005-08-24
24.7376,False,8,2005,29,22.22222222222222,22.22222222222222,onset,,,2005-08-29
19.5838,False,9,2005,3,11.11111111111111,11.11111111111111,onset,,,2005-09-03
16.375,False,9,2005,8,5.555555555555555,5.555555555555555,onset,,,2005-09-08
24.7708,False,9,2005,13,50.0,50.0,recovery,,,2005-09-13
28.7874,False,9,2005,18,61.111111111111114,,after,,,2005-09-18
25.291800000000002,False,9,2005,23,66.66666666666666,,,,,2005-09-23
28.403,False,9,2005,28,72.22222222222221,,,,,2005-09-28
26.55,False,10,2005,3,50.0,,,,,2005-10-03
25.05,False,10,2005,8,44.44444444444444,,,,before,2005-10-08
23.2374,False,10,2005,13,22.22222222222222,,,22.22222222222222,onset,2005-10-13
26.9752,False,10,2005,18,33.33333333333333,,,33.33333333333333,onset,2005-10-18
27.8542,False,10,2005,23,38.88888888888889,,,38.88888888888889,onset,2005-10-23
28.1124,False,10,2005,28,33.33333333333333,,,33.33333333333333,onset,2005-10-28
29.5,False,11,2005,2,33.33333333333333,,,33.33333333333333,onset,2005-11-02
